UniProtKB,Symbol,Virus_mimicry,GTEx_medium_TPM_in_lung,Distinct_SLiMs,Biological_process,Molecular_function
Q9Y3I0,RTCB,Nucleocapsid,71.85,1,"tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate [GO:0000971]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]",GTP binding [GO:0005525]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA ligase (ATP) activity [GO:0003972]; vinculin binding [GO:0017166]
Q7Z419,RNF144B,Nucleocapsid,41.78,1,apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511],metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
O75569,PRKRA,Nucleocapsid,35.56,1,cellular response to oxidative stress [GO:0034599]; immune response [GO:0006955]; middle ear morphogenesis [GO:0042474]; negative regulation of cell population proliferation [GO:0008285]; outer ear morphogenesis [GO:0042473]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; pre-miRNA processing [GO:0031054]; production of miRNAs involved in gene silencing by miRNA [GO:0035196]; production of siRNA involved in RNA interference [GO:0030422]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; response to virus [GO:0009615]; skeletal system morphogenesis [GO:0048705],double-stranded RNA binding [GO:0003725]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; pre-miRNA binding [GO:0070883]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]
P06454,PTMA,Nucleocapsid,670.34,1,"negative regulation of apoptotic process [GO:0043066]; transcription, DNA-templated [GO:0006351]",DNA-binding transcription factor binding [GO:0140297]
Q29RF7,PDS5A,Nucleocapsid,33.88,1,cell division [GO:0051301]; DNA repair [GO:0006281]; mitotic sister chromatid cohesion [GO:0007064]; negative regulation of DNA replication [GO:0008156],N/A
O75792,RNASEH2A,Nucleocapsid,14.02,1,"DNA replication [GO:0006260]; DNA replication, removal of RNA primer [GO:0043137]; mismatch repair [GO:0006298]; RNA catabolic process [GO:0006401]",metal ion binding [GO:0046872]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
P12956,XRCC6,Nucleocapsid,209.21,1,"activation of innate immune response [GO:0002218]; brain development [GO:0007420]; cellular hyperosmotic salinity response [GO:0071475]; cellular response to gamma radiation [GO:0071480]; cellular response to X-ray [GO:0071481]; DNA ligation [GO:0006266]; DNA recombination [GO:0006310]; double-strand break repair via classical nonhomologous end joining [GO:0097680]; double-strand break repair via nonhomologous end joining [GO:0006303]; innate immune response [GO:0045087]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of lymphocyte differentiation [GO:0045621]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of smooth muscle cell proliferation [GO:0048660]; telomere maintenance [GO:0000723]","5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; ATPase, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; double-stranded DNA binding [GO:0003690]; hydrolase activity [GO:0016787]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]; scaffold protein binding [GO:0097110]; telomeric DNA binding [GO:0042162]; transcription cis-regulatory region binding [GO:0000976]"
Q9Y3Y2,CHTOP,Nucleocapsid,38.6,1,in utero embryonic development [GO:0001701]; mRNA export from nucleus [GO:0006406]; positive regulation of ATPase activity [GO:0032781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of helicase activity [GO:0051096]; positive regulation of histone methylation [GO:0031062],methyl-CpG binding [GO:0008327]; RNA binding [GO:0003723]
Q15327,ANKRD1,Nucleocapsid,39.06,1,"cardiac muscle tissue morphogenesis [GO:0055008]; cellular response to drug [GO:0035690]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to mechanical stimulus [GO:0071260]; cellular response to organic cyclic compound [GO:0071407]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; negative regulation of DNA biosynthetic process [GO:2000279]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein secretion [GO:0050714]; protein kinase C signaling [GO:0070528]; regulation of transcription by RNA polymerase II [GO:0006357]; response to muscle stretch [GO:0035994]; sarcomere organization [GO:0045214]; skeletal muscle cell differentiation [GO:0035914]",DNA binding [GO:0003677]; histone deacetylase binding [GO:0042826]; p53 binding [GO:0002039]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; R-SMAD binding [GO:0070412]; titin binding [GO:0031432]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
Q8WYQ5,DGCR8,Nucleocapsid,23.36,1,primary miRNA processing [GO:0031053],double-stranded RNA binding [GO:0003725]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; primary miRNA binding [GO:0070878]; protein homodimerization activity [GO:0042803]; protein-RNA adaptor activity [GO:0140517]
P28340,POLD1,Nucleocapsid,19.6,1,"base-excision repair, gap-filling [GO:0006287]; cellular response to UV [GO:0034644]; DNA biosynthetic process [GO:0071897]; DNA-dependent DNA replication [GO:0006261]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA replication proofreading [GO:0045004]; DNA synthesis involved in DNA repair [GO:0000731]; error-free translesion synthesis [GO:0070987]; fatty acid homeostasis [GO:0055089]; nucleotide-excision repair, DNA gap filling [GO:0006297]; response to UV [GO:0009411]","3'-5'-exodeoxyribonuclease activity [GO:0008296]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chromatin binding [GO:0003682]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]"
O14867,BACH1,Nucleocapsid,22.74,1,"DNA repair [GO:0006281]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; regulation of transcription involved in G2/M transition of mitotic cell cycle [GO:0000117]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; heme binding [GO:0020037]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q9BYK8,HELZ2,Nucleocapsid,15.06,1,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transcription by RNA polymerase II [GO:0045944]",ATP binding [GO:0005524]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; nuclear receptor coactivator activity [GO:0030374]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q96KP1,EXOC2,Nucleocapsid,18.04,1,exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; protein transport [GO:0015031]; regulation of entry of bacterium into host cell [GO:2000535],protein kinase binding [GO:0019901]; protein N-terminus binding [GO:0047485]; small GTPase binding [GO:0031267]
Q96MH2,HEXIM2,Nucleocapsid,2.95,1,"negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]",7SK snRNA binding [GO:0097322]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; identical protein binding [GO:0042802]; snRNA binding [GO:0017069]
Q01094,E2F1,Nucleocapsid,6.38,1,"anoikis [GO:0043276]; cellular response to fatty acid [GO:0071398]; cellular response to hypoxia [GO:0071456]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to xenobiotic stimulus [GO:0071466]; DNA damage checkpoint signaling [GO:0000077]; forebrain development [GO:0030900]; G1/S transition of mitotic cell cycle [GO:0000082]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; lens fiber cell apoptotic process [GO:1990086]; mRNA stabilization [GO:0048255]; negative regulation of DNA binding [GO:0043392]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of fat cell proliferation [GO:0070345]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071930]; positive regulation of apoptotic process [GO:0043065]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of glial cell proliferation [GO:0060252]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]; transcription, DNA-templated [GO:0006351]","cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; protein kinase binding [GO:0019901]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription factor binding [GO:0008134]"
Q9UM47,NOTCH3,Nucleocapsid,75.27,1,"axon guidance [GO:0007411]; Notch signaling pathway [GO:0007219]; regulation of developmental process [GO:0050793]; regulation of transcription, DNA-templated [GO:0006355]",cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; signaling receptor activity [GO:0038023]
Q9BTE3,MCMBP,Nucleocapsid,29.7,1,cell division [GO:0051301]; DNA-dependent DNA replication [GO:0006261]; sister chromatid cohesion [GO:0007062],chromatin binding [GO:0003682]
P05412,JUN,Nucleocapsid,333.65,1,"aging [GO:0007568]; angiogenesis [GO:0001525]; cellular response to cadmium ion [GO:0071276]; cellular response to potassium ion starvation [GO:0051365]; cellular response to reactive oxygen species [GO:0034614]; circadian rhythm [GO:0007623]; learning [GO:0007612]; membrane depolarization [GO:0051899]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of DNA binding [GO:0043392]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990441]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA replication [GO:0045740]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of monocyte differentiation [GO:0045657]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; Ras protein signal transduction [GO:0007265]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357]; release of cytochrome c from mitochondria [GO:0001836]; response to cAMP [GO:0051591]; response to cytokine [GO:0034097]; response to drug [GO:0042493]; response to hydrogen peroxide [GO:0042542]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to radiation [GO:0009314]; SMAD protein signal transduction [GO:0060395]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]","cAMP response element binding [GO:0035497]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; enzyme binding [GO:0019899]; GTPase activator activity [GO:0005096]; HMG box domain binding [GO:0071837]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; R-SMAD binding [GO:0070412]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin protein ligase binding [GO:0031625]"
